PART_NUMBER,QTN_REV_3D,MEAN_SIZE_3D,DRAWING_CODE,ATP,QTN_REV_2D,MEAN_SIZE_2D,QTY_SHEETS,QTY_DIMENSIONS,QTY_VIEWS,QTY_PART_LIST,QTY_TEXT_INFORMATION,LEAD_TIME_1,TRIM_AND_FINISH,LEAD_TO_RELEASE,QTY_ECN_2D
D746702-57,1,219831,MP,F49-1-CSA1,1,669268,1,11,5,0,124,35,-1,35,0
D746702-59,1,202547,EX,F49-1-CSA1,1,626827,1,10,5,0,124,35,-1,35,0
D746702-61,1,208262,MP,F49-1-CSA1,1,671323,1,10,5,0,125,35,-1,35,0
D746702-63,1,187793,MP,F49-1-CSA1,1,640695,1,8,5,0,125,38,-1,38,0
D746702-69,1,189847,MP,F49-1-CSA1,1,627490,1,7,5,0,125,11,0,11,0
D746702-71,1,194383,MP,F49-1-CSA1,1,592772,1,8,5,0,125,12,0,12,0
D746702-73,1,282168,EX,F49-1-JBU1,1,644968,1,10,6,0,126,140,0,8,0
D746703-15,1,2637411,IM,F49-1-ACA1,1,1055126,2,14,7,0,143,37,-1,35,0
D746703-17,1,2691767,IM,F49-1-ACA1,1,999976,1,10,6,0,101,37,-1,35,0
D746703-21,1,252107,EX,F49-1-ACA1,1,710100,1,13,6,0,94,37,-1,35,0
D746704-11,1,189737,MP,F49-1-BAG3,1,695314,1,8,5,0,97,34,-1,34,0
D746704-13,1,209417,MP,F49-1-AZO1,1,695606,1,9,5,0,96,47,-1,46,0
D746704-15,1,183235,MP,F49-1-SZN1,1,663329,1,7,5,0,94,70,-1,70,0
D746704-17,1,190193,MP,F49-1-SZN1,1,699301,1,8,5,0,94,70,-1,70,0
D746704-19,1,190429,MP,F49-1-SZN1,1,673420,1,8,5,0,94,70,-1,70,0
D746704-21,1,200645,MP,F49-1-SZN1,1,687342,1,9,5,0,94,70,-1,70,0
D746704-23,1,224910,MP,F49-1-SZN1,1,722977,1,11,5,0,94,70,-1,70,0
D746704-25,1,196210,MP,F49-1-SZN1,1,647817,1,7,5,0,94,70,-1,70,0
D746704-7,1,189308,MP,F49-1-BAG3,1,673257,1,8,5,0,97,34,-1,34,0
D746704-9,1,206361,MP,F49-1-BAG3,1,713007,1,10,5,0,97,34,-1,34,0
D746705-13,1,2225299,IM,F49-1-ACA1,1,740461,1,15,5,0,94,37,-1,35,0
D746705-517,1,19632,SA,F49-1-ACA1,1,658570,1,3,5,2,97,37,-1,35,0
D746705-519,1,22036,SA,F49-1-BAG3,1,704356,1,3,5,3,101,36,-1,36,0
D746706-1,1,324315,EX,F49-1-JBU1,1,619706,1,14,6,0,124,26,-1,26,0
D746706-3,1,195484,EX,F49-1-JBU1,1,618311,1,10,5,0,123,27,-1,26,0
D747001-103,9,2412196,IN,F49-1-JBU1,9,37401661,5,13,30,1836,520,76,0,-64,8
D747001-109,1,2274657,IN,F49-1-BTI4,1,38610138,6,15,28,1606,456,77,-1,77,0
D747001-505,7,4330867,TA,F49-1-JBU1,7,26400511,2,0,9,1580,217,123,0,122,6
D747001-507,3,449360,TA,F49-1-JBU1,3,7595258,2,0,8,902,201,178,0,29,2
D747001-515,1,1007703,TA,F49-1-JBU1,1,23935161,3,0,10,1574,221,36,-1,35,0
D747001-517,1,956502,TA,F49-1-ACA1,1,22891591,3,0,9,1557,191,37,-1,36,0
D747001-519,1,4351594,TA,F49-1-BAG3,1,29300068,4,0,16,1481,262,,-1,-183,0
D747001-533,1,427100,TA,F49-1-0003,1,7565591,2,0,7,896,187,94,-1,92,0
D747001-535,1,451039,TA,F49-1-JBU1,1,7546848,2,0,8,902,201,94,-1,94,0
D747001-537,3,450474,TA,F49-1-BAG1,3,8625837,2,0,9,902,201,92,-1,92,4
D747001-539,1,437679,TA,F49-1-AFR1,1,7539333,2,0,8,910,201,94,-1,92,0
D747001-543,1,970283,TA,F49-1-JBU1,1,23924365,3,0,10,1574,221,48,-1,48,0
D747001-549,1,416000,TA,F49-1-ACA1,1,7707676,3,0,9,896,189,21,-1,21,0
D747001-553,1,438319,TA,F49-1-JBU1,1,7071392,2,0,8,902,156,54,-1,53,0
D747001-555,1,389499,TA,F49-1-BTI4,1,7145574,3,0,9,896,188,54,-1,53,0
D747001-557,1,965100,TA,F49-1-ACA1,1,25041202,3,1,9,1556,192,21,-1,20,0
D747001-561,1,958381,TA,F49-1-JBU1,1,23877357,3,0,10,1574,218,118,-1,117,0
D747001-567,1,457574,TA,F49-1-AFR1,1,7063849,2,0,8,910,159,52,-1,52,0
D747001-569,1,433047,TA,F49-1-BAG1,1,7562859,2,0,10,899,166,79,-1,79,0
D747001-571,1,4304945,TA,F49-1-AFR1,1,28235775,4,0,14,1579,266,31,-1,31,0
D747004-507,1,1269568,BS,F49-1-JBU1,1,6041048,3,17,22,751,430,15,0,14,0
D747004-511,2,1320899,BS,F49-1-AFR1,2,6068722,6,17,28,759,512,225,0,225,1
D747004-553,2,1220248,BS,F49-1-JBU1,2,6056177,6,17,28,751,512,50,0,49,1
D747004-555,2,1214833,BS,F49-1-BTI4,2,6086018,6,17,28,750,509,55,0,54,1
D747004-559,1,553453,BS,F49-1-ACA1,1,5949849,5,29,25,642,405,119,0,118,0
D747009-43,1,236901,EX,F49-1-JBU1,1,650534,1,15,6,0,128,132,0,118,0
D747026-559,1,39875,CC,F49-1-JBU1,1,1587300,3,44,12,21,229,124,0,123,0
D747061-503,1,23490,SA,F49-1-JBU1,1,676928,1,5,5,17,125,15,0,14,0
D747061-603,1,45026,PL,F49-1-JBU1,1,749549,1,17,5,15,141,15,0,14,0
D747111-3,1,159048,SM,F49-1-0003,1,538548,1,9,4,0,126,24,0,24,0
D747201-505,1,36810,SA,F49-1-JBU1,1,814689,1,7,6,31,140,128,0,117,0
D747202-3,1,167793,SM,F49-1-JBU1,1,601310,1,11,6,0,128,128,0,67,0
D747202-5,1,198324,SM,F49-1-JBU1,1,605225,1,11,6,0,126,49,0,49,0
D747202-503,1,69524,SA,F49-1-JBU1,1,1123231,1,2,6,63,144,132,0,118,0
D747222-507,1,41567,PL,F49-1-JBU1,1,848497,1,17,6,20,154,132,0,118,0
D747222-9,1,211436,EX,F49-1-JBU1,1,649138,1,20,7,0,132,99,0,94,0
D747242-505,3,109294,SA,F49-1-JBU1,3,1188135,1,3,6,66,145,128,0,128,3
D747473-17,1,174059,NM,F49-1-JBU1,1,563912,1,8,5,0,129,99,0,94,0
D747473-25,2,135589,NM,F49-1-JBU1,2,572624,1,7,6,0,127,123,0,120,1
D747473-27,1,174581,NM,F49-1-JBU1,1,575179,1,8,6,0,127,91,0,91,0
D747801-505,3,31565,IN,F49-1-JBU1,3,6297218,1,5,7,20,142,123,0,120,2
D747801-507,2,34976,IN,F49-1-JBU1,2,6602297,1,6,7,23,145,132,0,118,1
D747805-507,1,77887,IN,F49-1-JBU1,1,5755493,1,2,6,91,146,123,-1,122,0
D747807-505,1,54504,IN,F49-1-JBU1,1,7832504,1,0,8,46,164,132,0,132,0
D747807-507,1,56289,IN,F49-1-ACA2,1,5312848,1,0,8,46,159,98,0,96,0
D747807-509,1,54526,IN,F49-1-JBU1,1,7798543,1,0,8,46,164,94,0,94,0
D747820-505,2,100049,IN,F49-1-JBU1,2,14918501,2,8,14,120,247,132,0,118,1
D747820-507,1,104231,IN,F49-1-BAG1,1,7416602,3,8,17,119,253,2,0,2,0
D751001-139,2,3789476,TA,F49-1-CSA1,2,48560498,4,9,18,4499,500,46,-1,46,1
D751001-177,7,4040190,TA,F49-1-JBU1,7,44646727,3,9,13,3465,434,126,0,126,6
D751001-281,2,4540754,IN,F49-1-BTI4,2,48329515,6,9,25,3791,600,207,-1,207,1
D751001-283,1,3976776,TA,F49-1-BAG1,1,45802972,5,9,20,4170,491,122,-1,122,0
D751001-517,1,1072823,TA,F49-1-CSA1,1,26779671,4,22,24,755,464,51,-1,51,0
D751001-529,2,4492794,TA,F49-1-BAG1,2,72205162,5,7,33,2840,663,122,-1,-49,3
D751001-535,2,1977371,TA,F49-1-BAG3,2,82376939,8,22,40,2845,740,117,-1,117,2
D751001-539,1,1884773,TA,F49-1-SZN1,1,27555614,5,19,24,783,467,61,-1,60,0
D751001-669,1,1344475,TA,F49-1-JBU1,1,22866029,4,17,25,858,477,126,0,125,0
D751001-679,3,4357978,TA,F49-1-JBU1,3,73610652,5,5,32,2841,662,128,0,128,2
D751001-743,2,4508015,TA,F49-1-ACA1,2,71532129,6,15,35,3204,731,121,0,111,3
D751001-745,1,4254503,TA,F49-1-ATC1,1,69993873,6,17,36,3203,735,131,-1,128,0
D751001-753,2,4490202,TA,F49-1-ACA1,2,68967429,8,22,39,3180,734,117,-1,117,1
D751001-811,4,2392566,TA,F49-1-REU1,4,84527322,6,24,36,3216,741,54,0,50,7
D751001-813,2,4462874,TA,F49-1-AVN1,2,73873191,6,16,36,3216,750,52,-1,-217,4
D751001-865,1,678645,TA,F49-1-ACJ1,1,29997463,4,22,23,768,466,43,-1,42,0
D751001-869,1,4476808,TA,F49-1-JBU1,1,75004485,5,5,32,2840,661,32,-1,32,0
D751001-875,2,4473171,TA,F49-1-JBU1,2,78344505,5,5,31,2843,626,28,-1,27,1
D751001-883,2,1439370,TA,F49-1-ACA1,2,33672461,6,18,26,794,490,132,-1,132,1
D751001-885,3,1701651,TA,F49-1-BTI4,3,26983645,5,14,24,954,463,212,-1,211,2
D751001-889,1,1486773,TA,F49-1-JBU1,1,25579417,5,21,27,858,454,41,-1,40,0
D751001-891,1,675220,TA,F49-1-BAG1,1,32768371,6,24,27,788,501,147,-1,146,0
D751001-893,2,1861165,TA,F49-1-IAW1,2,25933158,5,11,24,776,467,123,-1,123,1
D751001-917,1,2423717,TA,F49-1-AFR1,1,82601832,8,25,39,3264,737,35,-1,29,0
D751001-919,1,1837991,TA,F49-1-AFR1,1,27347971,6,18,28,888,522,107,-1,97,0
D751001-941,3,4472728,TA,F49-1-IAW1,3,74102514,10,22,44,3193,832,131,-1,131,3
D751001-945,2,1511715,TA,F49-1-JBU1,2,24562415,5,13,25,864,484,111,-1,111,1
D751001-959,3,2222676,TA,F49-1-AFR1,3,79444165,8,25,40,3240,754,149,-1,149,3
D751001-963,3,4231158,TA,F49-1-JBU1,3,74317248,7,6,35,2843,641,32,-1,32,4
D751001-971,1,2006185,TA,F49-1-BAG1,1,75398475,8,23,40,2845,751,141,-1,141,0
D751001-973,3,2378896,TA,F49-1-BTI4,3,81230301,8,24,40,3195,727,135,-1,134,4
D751001-979,2,1844087,TA,F49-1-AFR1,2,29640205,6,16,28,892,514,81,-1,81,1
D751001-993,3,673402,TA,F49-1-BAG3,3,31788002,5,16,24,788,450,117,-1,117,2
D751002-121,1,3602705,IN,F49-1-ACJ1,1,47578285,4,8,18,4406,506,12,-1,-168,1
D751002-125,2,4022703,IN,F49-1-IAW1,2,49109761,6,9,22,4512,531,131,-1,131,1
D751002-141,1,4416277,IN,F49-1-SZN1,1,52291617,6,9,24,4037,574,,-1,-3,0
D751004-517,1,771457,BS,F49-1-CSA1,1,4666294,4,33,21,405,396,51,-1,51,0
D751004-623,1,600659,BS,F49-1-BAG1,1,4792972,4,28,21,416,405,49,0,49,0
D751004-649,2,609480,BS,F49-1-IAW1,2,4084329,3,31,17,419,283,129,0,129,1
D751004-669,1,798768,BS,F49-1-JBU1,1,4803542,4,28,21,420,410,126,0,125,0
D751004-679,2,4001691,BS,F49-1-JBU1,2,5198731,3,10,19,949,459,91,0,-298,3
D751004-693,2,688397,BS,F49-1-BAG1,2,5810408,5,12,23,958,515,141,0,141,1
D751004-695,1,285768,BS,F49-1-BAG1,1,4344205,3,31,17,419,284,146,0,146,0
D751004-697,1,3954097,BS,F49-1-JBU1,1,5687642,5,10,23,949,495,32,0,32,0
D751004-707,2,3934970,BS,F49-1-REU1,2,4668747,3,10,18,937,452,55,0,52,2
D751004-711,2,4001695,BS,F49-1-JBU1,2,5808178,5,12,23,963,508,206,0,206,1
D751004-725,3,782032,BS,F49-1-BTI4,3,4098676,3,32,17,411,284,209,0,209,2
D751004-727,1,440159,BS,F49-1-ACA1,1,4321794,3,25,17,416,288,132,0,132,0
D751004-729,2,811371,BS,F49-1-JBU1,2,4122093,3,22,17,426,283,190,0,190,1
D751004-733,2,3978619,BS,F49-1-AFR1,2,4934332,5,12,22,925,482,142,0,141,1
D751004-735,2,3639752,BS,F49-1-AFR1,2,4469850,4,32,19,428,330,143,0,143,1
D751004-795,2,280113,BS,F49-1-BAG1,2,4666910,3,31,17,422,284,50,0,50,1
D751009-607,1,130768,SA,F49-1-JBU1,1,5259298,1,10,7,24,162,128,0,100,0
D751013-517,1,111912,PL,F49-1-AZO1,1,1281219,1,22,6,45,156,100,0,100,0
D751014-505,1,33480,PL,F49-1-JBU1,1,944031,1,18,5,13,138,128,0,100,0
D751015-507,1,26811,PL,F49-1-JBU1,1,712709,1,15,5,6,128,128,0,100,0
D751016-517,1,181482,PL,F49-1-JBU1,1,1902215,1,44,10,52,196,188,0,188,0
D751018-503,1,56912,PL,F49-1-JBU1,1,1053204,1,35,7,22,156,128,0,100,0
D751022-505,1,45496,PL,F49-1-JBU1,1,1105186,1,42,5,8,102,190,0,190,0
D751030-17,1,396219,PL,F49-1-JBU1,1,706309,1,11,5,0,94,188,0,188,0
D751049-519,1,68914,PL,F49-1-JBU1,1,1198764,1,35,11,14,157,97,0,97,0
D751055-63,2,607828,MP,F49-1-ACJ1,2,792792,1,21,5,0,101,108,0,107,3
D751055-65,2,184218,MP,F49-1-ACJ1,2,696596,1,14,5,0,105,108,0,108,2
D751055-67,1,237818,MP,F49-1-ACJ1,1,654995,1,11,5,0,98,108,0,107,0
D751060-515,1,362984,PL,F49-1-JBU1,1,3565001,3,70,21,192,481,128,0,100,0
D751060-525,1,375901,PL,F49-1-AFR1,1,3456073,4,75,23,187,480,142,0,141,0
D751060-527,1,389151,PL,F49-1-JBU1,1,3763283,4,68,23,192,540,190,0,190,0
D751060-531,1,374658,PL,F49-1-JBU1,1,3552629,4,64,21,192,537,32,0,31,0
D751061-519,1,443154,PL,F49-1-AFR1,1,3701024,3,53,16,229,454,143,0,143,0
D751061-525,1,287792,PL,F49-1-BAG1,1,4132008,3,48,16,221,479,146,0,146,0
D751061-549,1,435619,PL,F49-1-JBU1,1,3244294,1,43,10,227,396,126,0,125,0
D751061-553,1,423245,PL,F49-1-CSA1,1,3262454,1,49,10,212,390,51,0,51,0
D751061-559,1,247430,PL,F49-1-ACA1,1,3647829,3,48,16,217,475,132,0,132,0
D751061-561,1,451646,PL,F49-1-JBU1,1,3967134,3,50,16,227,510,190,0,190,0
D751102-15,1,293316,SM,F49-1-JBU1,1,766890,1,22,6,0,102,188,0,188,0
D751136-31,1,117377,NM,F49-1-BTI4,1,554049,1,7,5,0,84,55,0,54,0
D751138-507,1,23272,SA,F49-1-JBU1,1,649794,1,3,5,2,92,67,0,67,0
D751138-7,1,256896,MP,F49-1-JBU1,1,752267,1,18,6,0,101,67,0,67,0
D751164-551,2,58715,SA,F49-1-REU1,2,1899154,1,11,10,55,165,,-1,-201,2
D751164-553,2,49353,SA,F49-1-REU1,2,1413204,1,8,7,41,139,98,-1,-178,2
D751164-651,1,95670,CC,F49-1-REU1,1,996914,2,37,10,15,205,45,-1,45,1
D751169-1,1,985339,SM,F49-1-JBU1,1,705469,1,21,7,0,130,128,0,100,0
D751185-507,1,50192,SA,F49-1-JBU1,1,10968685,2,0,7,23,154,236,0,236,0
D751201-523,2,427379,DA,F49-1-JBU1,2,5456992,2,11,15,141,265,,-1,-428,2
D751201-529,1,103438,DA,F49-1-ACJ1,1,4638919,2,9,14,123,249,43,-1,42,0
D751201-79,1,909209,EX,F49-1-RWZ1,1,978126,1,23,5,0,125,48,0,48,0
D751202-523,1,131025,PL,F49-1-JBU1,1,884310,1,6,8,42,132,97,0,97,0
D751225-31,1,178932,NM,F49-1-JBU1,1,535163,1,7,5,0,122,50,0,50,0
D751225-33,1,118173,NM,F49-1-JBU1,1,546356,1,7,5,0,123,76,0,76,0
D751225-39,1,125727,NM,F49-1-JBU1,1,623891,1,7,5,0,92,46,0,46,0
D751225-531,1,23043,NM,F49-1-JBU1,1,566213,1,4,5,3,127,50,0,50,0
D751225-539,1,20596,NM,F49-1-JBU1,1,770553,1,15,7,3,103,46,0,46,0
D751245-581,1,19232,SA,F49-1-JBU1,1,742193,1,5,6,4,112,188,0,188,0
D751245-81,1,499962,MP,F49-1-JBU1,1,862612,1,34,6,0,106,188,0,188,0
D751245-83,1,373654,SM,F49-1-JBU1,1,771493,1,28,6,0,95,188,0,188,0
D751245-87,1,242218,SM,F49-1-JBU1,1,714599,1,20,5,0,97,188,0,188,0
D751245-89,1,297677,SM,F49-1-JBU1,1,727990,1,23,5,0,93,188,0,188,1
D751245-93,1,254195,SM,F49-1-JBU1,1,712029,1,20,5,0,99,190,0,190,0
D751245-95,1,304696,SM,F49-1-JBU1,1,761284,1,23,6,0,103,190,0,190,0
D751245-97,1,177720,MP,F49-1-JBU1,1,675369,1,12,5,0,99,190,0,190,0
D751245-99,1,207054,SM,F49-1-JBU1,1,673149,1,16,5,0,99,188,0,188,0
D751252-51,1,191767,SM,F49-1-JBU1,1,566539,1,9,5,0,125,222,0,222,0
D751252-53,1,188234,SM,F49-1-JBU1,1,598032,1,12,6,0,126,222,0,222,0
D751301-37,1,175662,EX,F49-1-JBU1,1,629809,1,3,5,0,94,181,0,181,0
D751301-513,1,62125,SA,F49-1-JBU1,1,1418987,2,19,12,11,181,181,-1,181,0
D751304-525,2,83608,SA,F49-1-REU1,2,1059086,1,11,6,77,156,98,-1,-192,2
D751304-625,1,73669,CC,F49-1-REU1,1,880325,1,21,8,21,157,50,0,50,0
D751307-11,1,191465,MP,F49-1-ACJ1,1,658826,1,10,5,0,97,108,0,107,0
D751308-537,1,718350,SA,F49-1-ACA1,1,9164729,3,10,13,319,318,29,0,29,0
D751309-555,1,112726,BS,F49-1-ACA1,1,954944,1,7,7,30,134,29,0,29,0
D751309-659,1,237850,LU,F49-1-ACA1,1,1553300,2,58,13,26,253,29,0,29,1
D751311-525,1,52436,BS,F49-1-JBU1,1,1222088,2,16,12,32,188,190,0,190,0
D751311-527,1,63726,BS,F49-1-BAG1,1,1167404,2,12,12,32,186,146,0,146,0
D751319-507,1,39518,PL,F49-1-JBU1,1,980439,1,38,5,6,112,188,0,188,0
D751327-33,1,347984,EX,F49-1-REU1,1,612512,1,11,5,0,125,50,0,50,0
D751327-35,1,404424,EX,F49-1-REU1,1,573189,1,12,5,0,124,28,0,25,0
D751327-529,1,32362,SA,F49-1-REU1,1,637303,1,4,5,6,131,50,0,50,0
D751327-531,1,29582,SA,F49-1-REU1,1,659601,1,3,6,6,136,28,0,25,0
D751331-525,1,57110,SA,F49-1-BTI4,1,1233820,2,16,12,35,191,57,0,57,0
D751336-519,3,64105,DA,F49-1-REU1,3,1594488,1,7,7,69,153,56,0,56,3
D751336-521,2,65572,DA,F49-1-REU1,2,1643331,1,4,7,73,161,46,0,45,2
D751336-619,2,36924,CC,F49-1-REU1,2,736921,1,18,5,12,130,56,0,56,1
D751336-621,2,31910,CC,F49-1-REU1,2,696715,1,18,6,14,130,46,0,45,1
D751382-533,2,118747,PL,F49-1-JBU1,2,691676,1,12,4,12,144,,0,-447,2
D751382-551,2,34788,SA,F49-1-BAG1,2,741845,1,2,6,26,105,9,-1,9,1
D751382-651,2,32781,PL,F49-1-BAG1,2,790430,1,10,5,19,120,9,0,9,1
D751501-517,1,89842,SA,F49-1-JBU1,1,3306243,1,5,11,145,156,128,-1,100,0
D751731-505,1,0,EL,F49-1-BTI4,1,0,,,,,,253,0,253,0
D752001-515,2,6387674,TA,F49-1-ATC2,2,21904945,3,12,28,1624,546,111,-1,110,2
D752001-693,2,1009464,TA,F49-1-MSR1,2,6611196,3,13,19,367,350,116,-1,116,1
D752001-709,2,6345191,TA,F49-1-RWZ1,2,22916548,3,12,28,1598,525,41,-1,-61,2
D752001-713,1,6400306,TA,F49-1-ATC2,1,24640652,6,12,34,1622,625,,-1,-250,0
D752002-111,1,2485221,IN,F49-1-SZN1,1,38882414,5,12,19,2470,455,,-1,0,0
D752004-515,1,1024633,BS,F49-1-ATC2,1,3797296,4,11,15,390,312,139,0,138,0
D752004-693,2,459061,BS,F49-1-MSR1,2,2234085,2,12,12,218,225,251,0,-30,1
D752004-707,1,471341,BS,F49-1-ATC2,1,2220918,2,12,12,216,225,113,0,113,0
D752004-711,2,995579,BS,F49-1-ATC1,2,4059766,3,29,15,384,323,120,0,120,1
D752021-545,1,34774,SA,F49-1-ATC1,1,764137,1,3,5,14,141,116,-1,115,0
D752021-645,1,27689,PL,F49-1-ATC1,1,712390,1,22,5,5,141,116,0,115,0
D752034-519,1,162446,PL,F49-1-ATC1,1,996005,1,26,8,32,167,120,0,120,0
D752034-521,1,168513,PL,F49-1-ATC2,1,1076125,1,25,8,32,145,145,0,144,0
D752070-513,1,191700,SA,F49-1-ATC1,1,1042989,1,3,5,94,126,120,0,119,0
D752070-613,1,99301,PL,F49-1-ATC1,1,1702415,1,48,11,75,223,120,0,119,0
D752072-523,1,130220,SA,F49-1-MSR1,1,747158,1,6,6,31,137,114,0,114,0
D752146-9,1,310728,NM,F49-1-RWZ1,1,610867,1,15,5,0,125,48,0,47,0
D752164-551,1,38890,SA,F49-1-REU1,1,1320504,1,3,6,39,137,57,-1,57,0
D752164-553,1,55241,SA,F49-1-AVN1,1,1765952,2,5,9,62,170,112,-1,112,0
D752164-645,1,66166,CC,F49-1-REU1,1,1078349,2,41,10,15,207,57,-1,57,1
D752201-71,1,123795,EX,F49-1-ATC1,1,550681,1,7,5,0,125,116,0,115,0
D752264-589,1,108628,BS,F49-1-MSR1,1,723152,1,7,6,41,133,88,0,85,0
D752264-593,1,19992,PL,F49-1-MSR1,1,624826,1,12,5,3,133,88,0,85,0
D752264-595,1,132002,PL,F49-1-MSR1,1,811686,1,14,5,15,149,88,0,85,0
D752264-597,1,38894,PL,F49-1-MSR1,1,607371,1,10,5,4,130,88,0,85,0
D752274-501,1,47989,BS,F49-1-REU1,1,844803,1,11,6,39,97,27,0,27,0
D752274-503,1,129508,PL,F49-1-REU1,1,896487,1,11,5,13,109,28,0,28,0
D752304-573,2,30562,SA,F49-1-REU1,2,649364,1,3,5,24,131,98,-1,-178,2
D752304-673,1,49815,PL,F49-1-REU1,1,703493,1,9,5,17,128,56,0,56,0
D752304-675,1,50132,PL,F49-1-JBU1,1,711015,1,9,5,17,130,1,0,1,0
D752337-563,1,142631,SA,F49-1-AZO1,1,1327228,2,11,8,78,184,169,-1,159,0
D752337-565,1,47599,CC,F49-1-AZO1,1,1019238,1,25,9,22,136,171,0,161,0
D752705-547,1,0,EL,F49-1-ATC1,1,0,,,,,,259,0,259,0
D753001-511,1,11411137,TA,F49-1-ATC2,1,29620567,5,9,26,1619,591,197,-1,197,0
D753001-513,2,11410568,TA,F49-1-ATC2,2,31864965,4,11,24,1621,613,,-1,-158,1
D753001-637,2,2322779,TA,F49-1-CSA1,2,14507288,3,17,17,772,371,239,-1,239,1
D753001-643,1,2363791,TA,F49-1-REU1,1,18241737,3,11,17,806,371,27,0,27,0
D753001-703,1,2428794,TA,F49-1-MSR1,1,14203936,3,15,16,772,354,170,-1,170,0
D753001-709,2,2293568,TA,F49-1-ATC2,2,14419800,3,17,17,761,367,,-1,-220,1
D753001-711,2,11407809,TA,F49-1-RWZ1,2,32217470,4,14,24,1614,613,41,-1,-61,2
D753001-713,2,2418662,TA,F49-1-MSR1,2,14101846,3,15,16,761,348,,-1,-220,1
D753001-715,1,2318106,TA,F49-1-AVN1,1,14077871,3,15,16,771,350,106,-1,106,0
D753001-717,2,2346313,TA,F49-1-REU1,2,17623625,3,15,17,795,365,111,-1,111,1
D753001-781,1,2345558,TA,F49-1-SZN1,1,18302179,4,17,20,817,413,62,-1,61,0
D753001-783,1,1793965,TA,F49-1-SZN1,1,41534379,4,2,18,548,347,61,-1,61,1
D753004-511,1,1258194,BS,F49-1-ATC2,1,4528934,4,41,18,316,289,201,0,201,0
D753004-703,1,,BS,F49-1-MSR1,1,2771625,3,23,14,,311,170,-1,169,0
D753004-707,1,1258274,BS,F49-1-ATC1,1,3009510,2,6,12,314,242,116,0,116,0
D753004-709,1,1122944,BS,F49-1-ATC2,1,2575822,3,19,14,317,305,112,0,112,0
D753004-713,1,1050924,BS,F49-1-MSR1,1,2689608,3,23,14,325,311,110,0,110,0
D753004-715,1,1047222,BS,F49-1-AVN1,1,2655384,3,21,14,325,313,106,0,106,0
D753004-717,1,1049344,BS,F49-1-REU1,1,2696111,3,20,14,331,320,111,0,111,0
D753011-525,1,190626,SA,F49-1-ATC1,1,2452174,1,4,6,229,131,116,0,116,0
D753011-527,1,102687,SA,F49-1-ATC1,1,892847,1,3,5,102,125,116,0,116,0
D753011-529,1,106108,SA,F49-1-ATC2,1,996147,1,3,5,102,95,201,0,201,0
D753011-531,1,196952,SA,F49-1-ATC2,1,2626027,1,4,6,231,102,201,0,201,0
D753011-627,1,89776,PL,F49-1-ATC1,1,1040990,1,21,8,33,173,116,0,116,0
D753011-629,1,93906,PL,F49-1-ATC2,1,1330159,2,18,10,33,191,204,0,204,0
D753012-517,1,369849,PL,F49-1-ATC2,1,2254462,1,21,6,151,298,112,0,112,0
D753012-519,1,442370,PL,F49-1-REU1,1,2326344,1,29,8,157,307,109,0,109,0
D753018-507,1,312100,DA,F49-1-RWZ1,1,2699746,1,2,13,97,170,48,-1,47,0
D753021-505,1,219967,SA,F49-1-ATC1,1,1410491,1,3,5,14,134,113,-1,112,0
D753021-627,1,33505,PL,F49-1-ATC1,1,685112,1,22,6,5,142,113,0,112,0
D753030-511,1,150112,SA,F49-1-REU1,1,1463770,1,3,7,55,149,29,-1,-192,1
D753030-513,1,160091,SA,F49-1-ATC1,1,1840916,2,5,9,78,185,118,-1,118,0
D753030-611,1,86180,PL,F49-1-REU1,1,1157438,2,49,10,19,214,43,-1,43,0
D753151-5,1,153914,EX,F49-1-ATC1,1,584871,1,13,5,0,126,113,0,112,0
D753163-529,1,49667,SA,F49-1-ATC1,1,690736,1,6,5,27,131,887,0,887,0
D753201-511,1,26602,SA,F49-1-RWZ1,1,931992,1,3,6,9,133,53,0,53,0
D753202-515,1,267354,SA,F49-1-REU1,1,1193312,1,5,6,44,145,58,-1,58,1
D753202-615,1,43777,CC,F49-1-REU1,1,742508,1,24,7,14,132,58,0,58,0
D753264-565,1,361647,SA,F49-1-MSR1,1,1088585,1,3,7,105,156,88,-1,86,0
D753264-567,1,360923,SA,F49-1-REU1,1,1445858,2,4,9,104,164,27,-1,26,0
D753264-571,1,80796,SA,F49-1-SZN1,1,1208261,2,4,9,101,166,62,-1,61,0
D753264-573,1,41787,BS,F49-1-SZN1,1,850692,1,11,6,36,99,62,0,61,0
D753264-575,1,35423,PL,F49-1-SZN1,1,909302,1,14,5,10,109,62,0,61,0
D753404-5,1,198636,EX,F49-1-ATC1,1,582123,1,13,5,0,129,950,0,950,0
D753705-531,1,32266,EL,F49-1-JBU1,1,989597,1,4,3,6,139,58,0,56,1
D754001-151,2,2104502,TA,F49-1-AZO1,2,42900899,5,6,25,2211,447,162,-1,161,1
D754001-689,1,1066881,TA,F49-1-AZO1,1,43653610,7,11,34,1446,599,95,-1,94,0
D754001-693,1,766631,TA,F49-1-AZO1,1,34156060,6,15,34,1068,530,60,-1,60,0
D754004-639,1,392839,BS,F49-1-AZO1,1,4689530,5,28,22,338,404,97,0,97,0
D754013-523,1,91474,PL,F49-1-AZO1,1,2113361,2,52,13,57,239,108,0,108,0
D754105-17,1,1416887,IM,F49-1-BTI4,1,1184509,1,59,8,0,102,,0,-79,1
