PART_NUMBER,QTN_REV_3D,MEAN_SIZE_3D,DRAWING_CODE,ATP,QTN_REV_2D,MEAN_SIZE_2D,QTY_SHEETS,QTY_DIMENSIONS,QTY_VIEWS,QTY_PART_LIST,QTY_TEXT_INFORMATION,LEAD_TIME_1,TRIM_AND_FINISH,LEAD_TO_RELEASE,QTY_ECN_2D
D746604-543,1,18943,SA,F49-1-AFR1,1,678897,1,3,5,3,128,62,-1,62,0
D724005-505,1,393622,EL,F49-1-AFR1,1,12735417,1,0,5,53,161,51,0,50,0
D747803-503,1,37761,IN,F49-1-AFR1,1,2788197,1,0,9,40,151,75,-1,74,0
D747055-503,1,86428,CC,F49-1-AFR1,1,2064310,1,29,8,45,193,71,0,70,0
D724004-513,1,1010640,BS,F49-1-AFR1,1,6526310,3,22,28,739,464,28,0,-26,1
D745131-539,1,65828,SA,F49-1-AFR1,1,3501164,1,3,7,85,132,43,0,43,0
D735301-25,1,194358,MP,F49-1-AFR1,1,580049,1,7,6,0,129,45,0,45,0
D758001-631,2,811390,TA,F49-1-AFR1,2,496960,1,0,2,1340,93,63,-1,-122,2
D746521-13,1,188700,NM,F49-1-AFR1,1,521990,1,3,4,0,130,67,-1,67,0
D746604-547,1,19181,SA,F49-1-AFR1,1,676376,1,3,5,3,128,60,-1,60,0
D746604-545,1,19610,SA,F49-1-AFR1,1,676375,1,3,5,3,128,61,-1,61,0
D724051-507,1,122710,PL,F49-1-AFR1,1,670212,1,10,5,6,126,57,0,57,0
D747801-509,1,42721,IN,F49-1-AFR1,1,5866147,1,6,7,23,145,71,0,70,0
D746151-29,1,435508,SM,F49-1-AFR1,1,644473,1,20,5,0,129,70,0,69,0
D746705-513,1,20744,SA,F49-1-AFR1,1,674587,1,3,5,3,133,48,-1,48,0
D746604-51,1,361535,MP,F49-1-AFR1,1,617321,1,12,5,0,128,59,-1,59,0
D746521-11,1,430702,NM,F49-1-AFR1,1,525172,1,4,4,0,129,67,-1,67,0
D746331-49,1,98713,NM,F49-1-AFR1,1,510056,1,3,5,0,123,67,0,67,0
D746604-539,1,18861,SA,F49-1-AFR1,1,631386,1,3,5,2,127,66,-1,66,0
D735301-35,1,134219,MP,F49-1-AFR1,1,531318,1,6,5,0,126,45,0,45,0
D746704-3,1,210284,MP,F49-1-AFR1,1,644001,1,9,5,0,124,55,-1,55,0
D746702-97,1,223412,MP,F49-1-AFR1,1,659068,1,11,5,0,124,56,-1,56,0
D746604-549,1,18959,SA,F49-1-AFR1,1,614033,1,3,5,2,127,59,-1,59,0
D746604-49,1,272181,MP,F49-1-AFR1,1,570396,1,7,5,0,128,60,-1,60,0
D735301-33,1,161795,MP,F49-1-AFR1,1,558226,1,8,6,0,127,45,0,45,0
D735301-29,1,131139,MP,F49-1-AFR1,1,538892,1,5,5,0,126,45,0,45,0
D746520-97,1,435693,NM,F49-1-AFR1,1,516868,1,2,4,0,130,67,-1,67,0
D746520-95,1,427411,NM,F49-1-AFR1,1,518007,1,2,4,0,130,67,-1,67,0
D712018-515,2,76568,PL,F49-01-AFR1,2,638103,1,2,4,14,104,,0,-162,1
D746310-37,1,667317,NM,F49-1-AFR1,1,1205189,2,78,11,0,190,70,-1,70,0
D746530-63,1,196741,NM,F49-1-AFR1,1,528288,1,7,4,0,130,68,-1,67,0
D751382-543,1,38885,PL,F49-1-AFR1,1,746554,1,13,5,14,143,33,0,33,0
D746320-33,2,522536,NM,F49-1-AFR1,2,615646,1,2,4,0,231,71,-1,70,1
D724013-505,1,152567,PL,F49-1-AFR1,1,1476726,2,41,10,47,250,57,0,57,0
D745166-645,1,20966,SA,F49-1-AFR1,1,669368,1,9,6,3,133,36,-1,35,0
D745168-35,1,298793,NM,F49-1-AFR1,1,581927,1,7,5,0,126,24,-1,24,0
D746520-91,1,235019,NM,F49-1-AFR1,1,617166,1,7,6,0,133,67,-1,67,0
D712013-515,1,225086,PL,F49-1-AFR1,1,1703527,1,57,10,60,211,63,0,62,0
D746510-73,1,432765,NM,F49-1-AFR1,1,504352,1,2,4,0,131,68,-1,68,0
D746510-71,1,488195,NM,F49-1-AFR1,1,560550,1,8,4,0,131,68,-1,68,0
D746161-19,1,186324,SM,F49-1-AFR1,1,630929,1,13,6,0,130,45,0,45,0
D745401-515,1,78094,SA,F49-1-AFR1,1,2162015,1,3,6,88,136,44,0,44,0
D757004-627,1,277067,BS,F49-1-AFR1,1,5884589,3,13,23,439,358,74,0,74,0
D746521-5,1,453241,NM,F49-1-AFR1,1,515086,1,3,4,0,129,67,-1,67,0
D747001-529,1,437912,TA,F49-1-AFR1,1,7426812,2,0,8,910,201,71,-1,70,0
D724705-503,1,46866,EL,F49-1-AFR1,1,1112416,1,3,6,10,149,51,0,51,0
D724043-507,1,148583,PL,F49-1-AFR1,1,1117443,1,19,5,18,153,57,0,57,0
D724044-507,1,135365,PL,F49-1-AFR1,1,1274966,1,33,9,24,165,57,0,57,0
D724610-505,1,94384,SA,F49-1-AFR1,1,1339641,1,2,8,83,159,57,-1,57,0
D724048-511,1,280075,PL,F49-1-AFR1,1,1928087,1,22,6,94,232,57,0,57,0
D746604-41,1,458056,MP,F49-1-AFR1,1,618383,1,12,5,0,126,60,-1,60,0
D746604-47,1,352376,MP,F49-1-AFR1,1,612250,1,12,5,0,126,60,-1,60,0
D747412-503,1,53377,SA,F49-1-AFR1,1,802068,1,2,6,21,145,75,-1,74,0
D747015-505,3,43381,PL,F49-01-AFR1,3,678929,1,2,4,25,102,,0,-163,2
D745166-643,1,21974,SA,F49-1-AFR1,1,710955,1,12,6,5,139,55,-1,55,0
D724410-505,1,78577,SA,F49-1-AFR1,1,686544,1,5,6,35,126,57,0,57,0
D724410-613,1,94795,PL,F49-1-AFR1,1,1074446,1,22,6,28,161,57,0,57,0
D747013-505,1,80733,PL,F49-1-AFR1,1,1245593,1,31,6,40,173,75,0,74,0
D727242-515,1,101303,SA,F49-1-AFR1,1,1249766,2,2,9,69,217,,0,-184,1
D746604-45,1,343981,MP,F49-1-AFR1,1,617766,1,12,5,0,126,60,-1,60,0
D746604-541,1,21411,SA,F49-1-AFR1,1,683142,1,3,5,3,128,62,-1,62,0
D746702-95,1,194215,MP,F49-1-AFR1,1,608359,1,8,5,0,124,56,-1,56,0
D746331-47,1,129707,NM,F49-1-AFR1,1,533352,1,6,5,0,125,68,0,68,0
D746530-61,1,218824,NM,F49-1-AFR1,1,541088,1,7,4,0,130,68,-1,67,0
D758001-629,1,752296,TA,F49-1-AFR1,1,53998275,3,14,22,1106,404,66,-1,66,0
D746331-45,1,118917,NM,F49-1-AFR1,1,540471,1,6,5,0,125,68,0,68,0
D746704-5,1,209676,MP,F49-1-AFR1,1,621040,1,10,5,0,124,54,-1,54,0
D746331-43,1,127479,NM,F49-1-AFR1,1,557446,1,6,5,0,125,69,0,69,0
D746530-55,1,170896,NM,F49-1-AFR1,1,523437,1,3,4,0,130,68,-1,68,0
D724219-7,1,220470,SM,F49-1-AFR1,1,631371,1,16,6,0,128,54,0,53,0
D712001-531,3,2802849,TA,F49-1-AFR1,3,4954095,2,0,5,1959,250,63,-1,62,5
D746520-93,1,450261,NM,F49-1-AFR1,1,508678,1,3,4,0,130,67,-1,67,0
D747004-531,2,578657,BS,F49-01-AFR1,2,1269130,1,0,3,648,102,75,0,74,1
